OTU ID,HO0776.448,HO0776.022,HO0776.407,HO0776.267,HO0776.326,HO0776.339,HO0776.026,HO0776.315,HO0776.282,HO0776.396,HO0776.338,HO0776.272,HO0776.306,HO0776.253,HO0776.018,HO0776.268,HO0776.307,HO0776.345,HO0776.126,HO0776.096,HO0776.094,HO0776.138,HO0776.447,HO0776.176,HO0776.186,HO0776.ATCC.1003,HO0776.240,HO0776.225,HO0776.180,HO0776.232,HO0776.131,HO0776.311,HO0776.385,HO0776.FAECAL,HO0776.192,HO0776.219,HO0776.357,HO0776.037,HO0776.196,HO0776.217,HO0776.300,HO0776.210,HO0776.218,HO0776.054,HO0776.444,HO0776.452,HO0776.435,HO0776.128,HO0776.004,HO0776.122,HO0776.276,HO0776.293,HO0776.403,HO0776.ATCC.1004,HO0776.312,HO0776.380,HO0776.044,HO0776.203,HO0776.042,HO0776.313,HO0776.375,HO0776.393,HO0776.051,HO0776.208,HO0776.076,HO0776.365,HO0776.MOCK.1.2,HO0776.negative,OTU ID_dup
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax_volcanii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__HALOBACTERIA;O__HALOFERACALES;F__HALOFERACACEAE;G__HALOFERAX;S__HALOFERAX_VOLCANII
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba_hulunbeirensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__HALOBACTERIA;O__NATRIALBALES;F__NATRIALBACEAE;G__NATRIALBA;S__NATRIALBA_HULUNBEIRENSIS
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Salinarchaeum;s__Salinarchaeum_sp._Harcht-Bsk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__HALOBACTERIA;O__NATRIALBALES;F__NATRIALBACEAE;G__SALINARCHAEUM;S__SALINARCHAEUM_SP._HARCHT-BSK1
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_millerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOBACTERIA;O__METHANOBACTERIALES;F__METHANOBACTERIACEAE;G__METHANOBREVIBACTER;S__METHANOBREVIBACTER_MILLERAE
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_oralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,8.95E-06,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,2.98E-06,0,0,0,2.98E-06,0,6.86E-05,0,0,5.97E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOBACTERIA;O__METHANOBACTERIALES;F__METHANOBACTERIACEAE;G__METHANOBREVIBACTER;S__METHANOBREVIBACTER_ORALIS
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOBACTERIA;O__METHANOBACTERIALES;F__METHANOBACTERIACEAE;G__METHANOBREVIBACTER;S__METHANOBREVIBACTER_SMITHII
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_sp._AbM4,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOBACTERIA;O__METHANOBACTERIALES;F__METHANOBACTERIACEAE;G__METHANOBREVIBACTER;S__METHANOBREVIBACTER_SP._ABM4
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae,0,0,0.0005011933,0,0,0,1.49E-05,0,7.16E-05,3.58E-05,0,0.0001431456,0,1.79E-05,1.79E-05,3.28E-05,0,0,0,0,3.58E-05,5.96E-06,5.97E-06,0,5.97E-06,0,0,0,0,0,5.96E-06,0,0,0,5.97E-06,1.49E-05,0,0,0,0,8.95E-06,0,7.16E-05,0,8.95E-06,0,0,0,0,4.77E-05,0,0,0.0003012039,0,8.05E-05,1.19E-05,0,2.98E-06,2.98E-06,8.05E-05,0,0,0,0,0,5.96E-06,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOBACTERIA;O__METHANOBACTERIALES;F__METHANOBACTERIACEAE;G__METHANOSPHAERA;S__METHANOSPHAERA_STADTMANAE
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter_marburgensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOBACTERIA;O__METHANOBACTERIALES;F__METHANOBACTERIACEAE;G__METHANOTHERMOBACTER;S__METHANOTHERMOBACTER_MARBURGENSIS
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_barkeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97E-06,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOMICROBIA;O__METHANOSARCINALES;F__METHANOSARCINACEAE;G__METHANOSARCINA;S__METHANOSARCINA_BARKERI
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_flavescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOMICROBIA;O__METHANOSARCINALES;F__METHANOSARCINACEAE;G__METHANOSARCINA;S__METHANOSARCINA_FLAVESCENS
